experiment_id,git_commit,timestamp,dataset,protocol,robustness_setting,optimizer,seed,resolved_seed,hyperparameter_config,perturbation_type,requested_severity,actual_perturbation_rate,actual_perturbation_count,train_accuracy,validation_accuracy,test_accuracy,macro_f1,loss,training_time_seconds,best_validation_epoch,final_epoch,hardware_metadata_path
v2_cross_dataset,d92b453,2026-07-06T03:09:03.195515+00:00,Cora,fixed,training_time,Adam,42,806481020,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.784,0.816,0.8065262669157643,0.2975058555603027,12.024123667011736,156,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:09:13.909893+00:00,Cora,fixed,training_time,Adam,42,2066187363,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.9928571428571428,0.776,0.8,0.7885799820721228,0.3548184931278229,10.155284039996332,170,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:09:22.687288+00:00,Cora,fixed,training_time,Adam,42,1478583040,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.77,0.792,0.781195231763226,0.3081496655941009,8.604858154983958,151,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:09:28.946746+00:00,Cora,fixed,training_time,Adam,42,1991168608,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.752,0.785,0.7724924914661434,0.3749367594718933,6.081039999000495,183,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:09:34.955591+00:00,Cora,fixed,training_time,AdamW,42,1793972315,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.764,0.784,0.7787915508724063,0.0720845907926559,5.518514196010074,84,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:09:53.818630+00:00,Cora,fixed,training_time,AdamW,42,1528704709,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,1.0,0.762,0.777,0.7680008566166968,0.0655714273452758,18.685605720995227,134,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:09:59.260628+00:00,Cora,fixed,training_time,AdamW,42,1777049372,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.754,0.771,0.7612625815157765,0.0726845636963844,5.262333504011622,39,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:04.794143+00:00,Cora,fixed,training_time,AdamW,42,163758197,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.728,0.738,0.7307424826466019,0.0662197396159172,5.35110106098,84,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:09.860889+00:00,Cora,fixed,training_time,RMSProp,42,850258994,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,0.9928571428571428,0.798,0.806,0.7953529111017275,0.3141821622848511,4.920564656000352,30,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:14.854783+00:00,Cora,fixed,training_time,RMSProp,42,2016525353,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,1.0,0.788,0.802,0.7890913123498937,0.397010326385498,4.8248503190116026,164,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:19.580126+00:00,Cora,fixed,training_time,RMSProp,42,162091347,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.782,0.793,0.7773510768280405,0.2976760566234588,4.573376027983613,145,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:24.721793+00:00,Cora,fixed,training_time,RMSProp,42,710712242,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.748,0.758,0.7530177280606255,0.408488392829895,4.958482735004509,173,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:28.739336+00:00,Cora,fixed,training_time,AdaGrad,42,700053975,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,0.9642857142857144,0.778,0.777,0.7670642132185693,1.397470474243164,3.858867709001061,193,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:33.113925+00:00,Cora,fixed,training_time,AdaGrad,42,645010056,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.9571428571428572,0.744,0.754,0.7454717226837932,1.475738763809204,4.193604303989559,194,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:38.275266+00:00,Cora,fixed,training_time,AdaGrad,42,1962896404,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,0.9642857142857144,0.764,0.771,0.7538159516592312,1.400965690612793,4.977040770987514,107,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:42.478946+00:00,Cora,fixed,training_time,AdaGrad,42,1482671755,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,0.9571428571428572,0.72,0.723,0.7166842713390802,1.547692894935608,4.034865970024839,189,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:46.386524+00:00,Cora,fixed,training_time,SGD,42,1563341785,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,0.1642857142857142,0.144,0.154,0.055346295590291,1.9429173469543457,3.786839606007561,22,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:50.371817+00:00,Cora,fixed,training_time,SGD,42,833781839,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.1428571428571428,0.122,0.131,0.035026956950699,1.9445374011993408,3.817854593013181,77,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:54.059581+00:00,Cora,fixed,training_time,SGD,42,1694106224,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,0.1571428571428571,0.136,0.129,0.0682264483426645,1.9445756673812864,3.549608064000495,98,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:10:58.213108+00:00,Cora,fixed,training_time,SGD,42,878299697,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,0.1928571428571428,0.132,0.137,0.0561430950591013,1.9446158409118648,3.962806073977845,194,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:02.889483+00:00,Cora,fixed,training_time,Adam,43,311641356,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.798,0.813,0.8008294455462762,0.3153882026672363,4.555996812996455,128,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:08.843007+00:00,Cora,fixed,training_time,Adam,43,864641404,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.9928571428571428,0.78,0.806,0.7948019396538396,0.4055536985397339,5.778174120001495,144,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:12.764753+00:00,Cora,fixed,training_time,Adam,43,38334943,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.794,0.802,0.7898744138809795,0.2938783168792724,3.7825101480120793,157,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:15.972425+00:00,Cora,fixed,training_time,Adam,43,1092532761,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.764,0.786,0.7787201313860725,0.4571038484573364,3.08805880197906,125,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:19.047767+00:00,Cora,fixed,training_time,AdamW,43,1485499966,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.79,0.788,0.7779352027801317,0.0591686740517616,2.967253956012428,86,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:22.091442+00:00,Cora,fixed,training_time,AdamW,43,1125719163,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,1.0,0.754,0.768,0.7628105192922428,0.0634355545043945,2.9340841560042463,87,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:25.047032+00:00,Cora,fixed,training_time,AdamW,43,835941477,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.752,0.75,0.7419118059851849,0.1443800926208496,2.8290265039831866,57,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:28.214421+00:00,Cora,fixed,training_time,AdamW,43,470434941,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.722,0.743,0.7368618608188944,0.0702210143208503,3.046237417991506,77,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:34.668916+00:00,Cora,fixed,training_time,RMSProp,43,93959779,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.784,0.81,0.7994980127854656,0.3646261990070343,6.33891689099255,187,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:39.322821+00:00,Cora,fixed,training_time,RMSProp,43,63400756,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,1.0,0.786,0.806,0.793857824397815,0.4036745727062225,4.517192233004607,83,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:44.373048+00:00,Cora,fixed,training_time,RMSProp,43,172034768,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,0.9928571428571428,0.774,0.805,0.7973411856492741,0.3777955174446106,4.92720253902371,39,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:50.069093+00:00,Cora,fixed,training_time,RMSProp,43,948867793,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.758,0.757,0.7504784185126204,0.4005636274814605,5.53664512099931,100,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:54.296134+00:00,Cora,fixed,training_time,AdaGrad,43,1496925051,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,0.9642857142857144,0.752,0.765,0.7583551366231124,1.420607328414917,4.112351736985147,177,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:11:59.726976+00:00,Cora,fixed,training_time,AdaGrad,43,1075430098,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.9428571428571428,0.736,0.758,0.7474692119594797,1.519047498703003,5.297517622006126,188,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:04.665825+00:00,Cora,fixed,training_time,AdaGrad,43,611079585,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,0.9571428571428572,0.698,0.707,0.707268639818678,1.4328771829605105,4.767358273005812,186,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:12.601298+00:00,Cora,fixed,training_time,AdaGrad,43,1311691110,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,0.9571428571428572,0.706,0.72,0.710166813396223,1.5461769104003906,7.7877611690200865,191,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:17.014429+00:00,Cora,fixed,training_time,SGD,43,965849535,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,0.1857142857142857,0.102,0.112,0.0569861931933971,1.943286776542664,4.292024146998301,158,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:20.319119+00:00,Cora,fixed,training_time,SGD,43,1842502831,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.1428571428571428,0.06,0.067,0.0233646338553987,1.9446293115615845,3.170051084976876,10,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:25.221889+00:00,Cora,fixed,training_time,SGD,43,2026531817,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,0.1642857142857142,0.142,0.118,0.0642300338277193,1.9436345100402832,4.634880998986773,197,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:29.369035+00:00,Cora,fixed,training_time,SGD,43,953943503,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,0.1928571428571428,0.116,0.138,0.0751748113907189,1.944499373435974,4.013266837981064,101,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:34.068832+00:00,Cora,fixed,training_time,Adam,44,2070612509,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.792,0.813,0.7991254676028358,0.3241431415081024,4.46886392502347,108,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:38.284659+00:00,Cora,fixed,training_time,Adam,44,631442477,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,1.0,0.76,0.774,0.763251489254862,0.4144364595413208,3.962280753010418,121,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:42.460960+00:00,Cora,fixed,training_time,Adam,44,1582984846,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.752,0.772,0.7606837081692642,0.3223409056663513,4.032692153006792,145,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:46.782254+00:00,Cora,fixed,training_time,Adam,44,1972599771,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.762,0.763,0.7498768233698138,0.4208672940731048,4.180235815991182,141,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:50.836661+00:00,Cora,fixed,training_time,AdamW,44,1390657455,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.784,0.787,0.7835405759880109,0.0455001182854175,3.9313888009928633,81,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:54.301116+00:00,Cora,fixed,training_time,AdamW,44,303954349,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,1.0,0.752,0.77,0.7612365171916082,0.0665801167488098,3.330914416990709,121,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:12:58.333384+00:00,Cora,fixed,training_time,AdamW,44,706096504,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.756,0.764,0.7553387762177416,0.0598922669887542,3.895155614009127,58,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:13:07.102022+00:00,Cora,fixed,training_time,AdamW,44,486253031,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.7,0.737,0.7246404212496775,0.0556759312748909,8.621486799005652,64,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:13:20.353552+00:00,Cora,fixed,training_time,RMSProp,44,1880968939,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.798,0.799,0.7902772843180166,0.3382817506790161,12.976610748009987,63,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:13:43.883143+00:00,Cora,fixed,training_time,RMSProp,44,1375483361,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.9928571428571428,0.76,0.775,0.7680904293846593,0.4149723351001739,22.892699648975395,60,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:13:56.357989+00:00,Cora,fixed,training_time,RMSProp,44,411405006,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.772,0.776,0.7622104279241307,0.2677262127399444,11.942165063985158,181,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:14:09.685126+00:00,Cora,fixed,training_time,RMSProp,44,105422768,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,0.9928571428571428,0.75,0.763,0.756247673320028,0.4074858725070953,12.705090875009772,77,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:14:20.667340+00:00,Cora,fixed,training_time,AdaGrad,44,709678197,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,0.9357142857142856,0.762,0.795,0.7857033612876655,1.4005528688430786,10.557620553998277,178,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:14:30.107964+00:00,Cora,fixed,training_time,AdaGrad,44,219973841,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.9714285714285714,0.682,0.721,0.7287402936477615,1.5433204174041748,9.00689668598352,69,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:14:43.466003+00:00,Cora,fixed,training_time,AdaGrad,44,1918756485,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,0.95,0.732,0.729,0.717802459557883,1.444537878036499,12.705917119019432,187,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:14:59.769945+00:00,Cora,fixed,training_time,AdaGrad,44,189352195,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,0.9,0.656,0.648,0.6352899191914086,1.56879985332489,15.77728390399716,188,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:15:09.994633+00:00,Cora,fixed,training_time,SGD,44,1292690751,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,0.25,0.148,0.158,0.0867081524994833,1.9438273906707764,9.821515937015649,186,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:15:20.153658+00:00,Cora,fixed,training_time,SGD,44,988524123,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,0.1642857142857142,0.144,0.162,0.1015624033224849,1.9455971717834477,9.726165806001518,172,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:15:29.269521+00:00,Cora,fixed,training_time,SGD,44,1293873285,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,0.1928571428571428,0.146,0.143,0.078895035581261,1.944633960723877,8.560401428985642,192,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:15:37.872525+00:00,Cora,fixed,training_time,SGD,44,83874871,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,0.1428571428571428,0.122,0.13,0.0367985756725703,1.942954540252685,8.196897347981576,22,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:15:49.220902+00:00,Cora,fixed,training_time,Adam,45,2029043012,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.79,0.81,0.7980799905995583,0.4034530222415924,11.000374377996197,135,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:15:59.749918+00:00,Cora,fixed,training_time,Adam,45,1851382881,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,1.0,0.778,0.784,0.7710963409230331,0.3708058893680572,10.207856282999272,132,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:16:23.558369+00:00,Cora,fixed,training_time,Adam,45,1023902573,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.772,0.776,0.7596641778851672,0.3255321979522705,23.31414079500246,100,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:16:34.002351+00:00,Cora,fixed,training_time,Adam,45,343863078,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.1998863205759757,1055,1.0,0.756,0.778,0.7637847171604413,0.4143293797969818,10.01423899398651,138,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:16:44.858461+00:00,Cora,fixed,training_time,AdamW,45,2065125692,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.778,0.779,0.7710974474052653,0.059201281517744,10.529084909998346,175,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:16:54.385008+00:00,Cora,fixed,training_time,AdamW,45,449659986,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.1999959362808842,9843,1.0,0.77,0.795,0.7872562256411122,0.072286769747734,9.140625257015929,172,200,results/v2/metadata/environment.json
v2_cross_dataset,d92b453,2026-07-06T03:17:04.300095+00:00,Cora,fixed,training_time,AdamW,45,2108958842,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.1998863205759757,1055,1.0,0.758,0.763,0.7533716486054695,0.059693556278944,9.459770480985751,138,200,results/v2/metadata/environment.json
